Page Number,Product Page URL
1,https://www.newegg.com/g-skill-256gb-288-pin-ddr4-sdram/p/N82E16820374072?Item=N82E16820374072
1,https://www.newegg.com/g-skill-128gb-288-pin-ddr4-sdram/p/N82E16820374255?Item=N82E16820374255
1,https://www.newegg.com/g-skill-128gb-288-pin-ddr4-sdram/p/N82E16820374200?Item=N82E16820374200
1,https://www.newegg.com/g-skill-256gb-288-pin-ddr4-sdram/p/N82E16820232995?Item=N82E16820232995
1,https://www.newegg.com/corsair-256gb-288-pin-ddr4-sdram/p/N82E16820236806?Item=N82E16820236806
1,https://www.newegg.com/g-skill-256gb-288-pin-ddr4-sdram/p/N82E16820232996?Item=N82E16820232996
1,https://www.newegg.com/g-skill-128gb-288-pin-ddr4-sdram/p/N82E16820374235?Item=N82E16820374235
1,https://www.newegg.com/g-skill-128gb-288-pin-ddr4-sdram/p/N82E16820374225?Item=N82E16820374225
1,https://www.newegg.com/corsair-256gb-288-pin-ddr4-sdram/p/N82E16820236610?Item=N82E16820236610
1,https://www.newegg.com/corsair-256gb-288-pin-ddr4-sdram/p/N82E16820236805?Item=N82E16820236805
1,https://www.newegg.com/corsair-256gb-288-pin-ddr4-sdram/p/N82E16820236603?Item=N82E16820236603
1,https://www.newegg.com/corsair-256gb-288-pin-ddr4-sdram/p/N82E16820236604?Item=N82E16820236604
1,https://www.newegg.com/corsair-256gb-288-pin-ddr4-sdram/p/N82E16820236595?Item=N82E16820236595
1,https://www.newegg.com/corsair-256gb-288-pin-ddr4-sdram/p/N82E16820236564?Item=N82E16820236564
1,https://www.newegg.com/g-skill-64gb-288-pin-ddr4-sdram/p/N82E16820232983?Item=N82E16820232983
1,https://www.newegg.com/g-skill-64gb-288-pin-ddr4-sdram/p/N82E16820374244?Item=N82E16820374244
1,https://www.newegg.com/g-skill-64gb-288-pin-ddr4-sdram/p/N82E16820374252?Item=N82E16820374252
1,https://www.newegg.com/g-skill-128gb-288-pin-ddr4-sdram/p/N82E16820374073?Item=N82E16820374073
1,https://www.newegg.com/g-skill-64gb-288-pin-ddr4-sdram/p/N82E16820374199?Item=N82E16820374199
